titre,url
"La faillite de la démocratie aux Etats-Unis, épisode 2 : la disparité des règles de vote selon les Etats",https://www.lemonde.fr/international/article/2020/10/13/les-failles-de-la-democratie-americaine-episode-2-la-disparite-des-regles-de-vote-risque-de-creer-la-confusion_6055826_3210.html
Covid-19 : ces nombres montrant la « probabilité de survie » des personnes infectées sont trompeurs,https://www.lemonde.fr/les-decodeurs/article/2020/10/13/covid-19-ces-chiffres-montrant-la-probabilite-de-survie-des-personnes-infectees-sont-trompeurs_6055868_4355770.html
L’UE adopte des critères non contraignants pour les zones à risques et les restrictions de voyage,https://www.lemonde.fr/planete/article/2020/10/13/coronavirus-adoption-de-criteres-communs-pour-les-restrictions-de-voyage-dans-l-ue_6055851_3244.html
Des heures d’attente et des médicaments hors de prix : la corruption de la santé en Amérique latine à l’heure du Covid-19,https://www.lemonde.fr/international/article/2020/10/13/covid-19-la-pandemie-revele-l-ampleur-de-la-corruption-des-systemes-de-sante-en-amerique-latine_6055833_3210.html
"La réforme des retraites, une équation insoluble pour le gouvernement",https://www.lemonde.fr/politique/article/2020/10/13/reforme-des-retraites-l-equation-insoluble_6055839_823448.html
Qu’est-ce que la 5G va changer pour les particuliers ?,https://www.lemonde.fr/les-decodeurs/article/2020/09/19/qu-est-ce-que-la-5g-va-changer-pour-les-particuliers_6052813_4355770.html
"Notre voix, un instrument si fragile",https://www.lemonde.fr/sciences/article/2020/10/13/notre-voix-un-instrument-si-fragile_6055809_1650684.html
"Bars, fêtes, piscines et salles de sports… quelles sont les restrictions dans votre ville ou département ?",https://www.lemonde.fr/les-decodeurs/article/2020/09/24/coronavirus-zones-d-alerte-bars-fetes-ce-que-l-on-sait-des-nouvelles-restrictions_6053500_4355770.html
En cartes et graphiques : visualisez l’évolution de l’épidémie de Covid-19 en France et dans le monde,https://www.lemonde.fr/les-decodeurs/article/2020/05/05/coronavirus-age-mortalite-departements-pays-suivez-l-evolution-de-l-epidemie-en-cartes-et-graphiques_6038751_4355770.html
"« Si on ne fait rien, dans un mois c’est la catastrophe » : face à la deuxième vague, quelles sont les options du gouvernement ?",https://www.lemonde.fr/planete/article/2020/10/13/reconfinement-couvre-feu-face-a-la-deuxieme-vague-quelles-sont-les-options-du-gouvernement_6055782_3244.html
« Je ne m’occupe plus que du Covid » : paroles d’infirmiers et de médecins scolaires,https://www.lemonde.fr/education/article/2020/10/12/je-ne-m-occupe-plus-que-du-covid-infirmiers-et-medecins-scolaires-en-premiere-ligne_6055731_1473685.html
